sample_name,sra_accession,doublet_threshold
larval-testes-01,https://sra-download.ncbi.nlm.nih.gov/traces/sra77/SRR/008314/SRR8513906,0.35
larval-testes-02,https://sra-download.ncbi.nlm.nih.gov/traces/sra77/SRR/008314/SRR8513907,0.3
larval-testes-03,https://sra-download.ncbi.nlm.nih.gov/traces/sra77/SRR/008314/SRR8513908,0.35
adult-testes-ral,https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRR/009477/SRR9705086,0.4
adult-testes-wild,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/009472/SRR9700117,0.4
